Cod_Div,Municipio,Humedad
52254,EL PEÑOL,86.26
52256,EL ROSARIO,85.05
52258,EL TABLÓN DE GÓMEZ,88.09875
52260,EL TAMBO,85.90375
52287,FUNES,89.99125000000001
52317,GUACHUCAL,90.47625000000001
52320,GUAITARILLA,88.46875
52323,GUALMATÁN,90.8475
52352,ILES,89.3375
52354,IMUÉS,88.4525
52356,IPIALES,93.03375
52378,LA CRUZ,87.8025
52381,LA FLORIDA,87.28625
52385,LA LLANADA,89.98125
52390,LA TOLA,87.79125
52399,LA UNIÓN,84.07000000000001
52405,LEIVA,86.55625
52411,LINARES,87.9675
52418,LOS ANDES,88.245
52427,MAGÜÍ,88.715
52435,MALLAMA,93.0125
52473,MOSQUERA,83.50750000000001
52480,NARIÑO,87.45750000000001
52490,OLAYA HERRERA,85.775
52506,OSPINA,88.725
52520,FRANCISCO PIZARRO,82.62375
52540,POLICARPA,87.75625
52560,POTOSÍ,93.76625
52565,PROVIDENCIA,89.3375
52573,PUERRES,91.79375
52585,PUPIALES,92.16875
52612,RICAURTE,95.535
52621,ROBERTO PAYÁN,88.65375
52678,SAMANIEGO,89.72875
52835,SAN ANDRÉS DE TUMACO,82.4875
54001,CÚCUTA,71.67375
54003,ÁBREGO,87.85875
54051,ARBOLEDAS,83.50125
54099,BOCHALEMA,81.9475
54109,BUCARASICA,84.77374999999999
54125,CÁCOTA,92.0125
54128,CÁCHIRA,91.48625
54172,CHINÁCOTA,82.01625
54174,CHITAGÁ,92.07374999999999
54206,CONVENCIÓN,89.64500000000001
54223,CUCUTILLA,86.49
54239,DURANIA,76.15875
54245,EL CARMEN,91.11125
54250,EL TARRA,88.26625
54261,EL ZULIA,74.50375
54313,GRAMALOTE,81.23625
54344,HACARÍ,89.8475
54347,HERRÁN,88.85499999999999
54377,LABATECA,92.0475
54385,LA ESPERANZA,90.67625000000001
54398,LA PLAYA,88.73625
54405,LOS PATIOS,70.61625000000001
54418,LOURDES,82.5175
54480,MUTISCUA,91.27125
54498,OCAÑA,89.2375
54518,PAMPLONA,90.51375
54520,PAMPLONITA,89.6275
54553,PUERTO SANTANDER,82.9325
54599,RAGONVALIA,83.7175
54660,SALAZAR,81.01375
63001,ARMENIA,91.74125000000001
63111,BUENAVISTA,92.14375
63130,CALARCÁ,92.09
63190,CIRCASIA,92.025
63212,CÓRDOBA,92.44125
63272,FILANDIA,91.7875
63302,GÉNOVA,92.0375
63401,LA TEBAIDA,91.02125
63470,MONTENEGRO,91.1125
63548,PIJAO,92.69375
63594,QUIMBAYA,90.9875
63690,SALENTO,92.47
66001,PEREIRA,91.10499999999999
66045,APÍA,93.1725
66075,BALBOA,91.85625
66088,BELÉN DE UMBRÍA,92.5
66170,DOSQUEBRADAS,91.35125000000001
66318,GUÁTICA,92.285
66383,LA CELIA,93.1725
66400,LA VIRGINIA,90.7825
66440,MARSELLA,90.26124999999999
66456,MISTRATÓ,93.63374999999999
66572,PUEBLO RICO,95.4475
66594,QUINCHÍA,91.81375
68001,BUCARAMANGA,88.8125
68013,AGUADA,89.74249999999999
68020,ALBANIA,90.95625
68051,ARATOCA,84.74375
68077,BARBOSA,90.55125000000001
68079,BARICHARA,85.77374999999999
68081,BARRANCABERMEJA,87.49125000000001
68092,BETULIA,86.65
68101,BOLÍVAR,93.23125
68121,CABRERA,86.36749999999999
68132,CALIFORNIA,88.61749999999999
68147,CAPITANEJO,82.6225
68152,CARCASÍ,87.10125000000001
68160,CEPITÁ,84.29875
68162,CERRITO,89.05
68167,CHARALÁ,89.56125
68169,CHARTA,88.37875
68176,CHIMA,89.9425
68179,CHIPATÁ,91.16625
68190,CIMITARRA,85.675
68207,CONCEPCIÓN,88.20750000000001
68209,CONFINES,88.41749999999999
